keyword,ranked,exact_title,avg_score,min_score,fresh_updated,top_titles
"acupressure","10","5","4.39","4.21","0","Acupressure Points | Relief: Acupressure & Healing | Divine Care Acupressure | Visual Acupuncture 3D | Acupuncture Assistant | iaomai: Acupuncture & Auriculo | Acupressure | TCM Acupuncture Index/Acupoint | Acupressure Points - Guide | AcuRhythm Acupuncture Pro"
"reflexology","10","8","4.48","4.48","0","Foot Reflexology Chart | JIN Reflexology | Reflexology Chart | ReflexoCure | Ear Reflexology Self-Care | Reflexology videos | Total Reflexology 3D | How to Do Reflexology | Reflexology Massage | iaomai: Acupuncture & Auriculo"
"kundalini","10","7","4.74","4.64","0","Kundalini Lounge | Kundalini Assistant | Satnam. Kundalini Yoga Timer | Kundalini Awakening | Chakra Healing & Meditation | Kundalini Foundation | Kundalini Lounge | Yogi Anand Ji - Kundalini Yoga | Chakra Healing: Balance Energy | Mantra Meditation Chakra"
"reiki","10","10","4.33","4.04","0","ReikiAll - Reiki Practice | Reiki: Frequency Healing Sound | Reiki Sound - Timer | myReiki: Reiki Timer & Music | Reiki World Healing | Reiki Healing Music | Reiki Grandmaster Shefali | Reiki Kendra - Amar Kumar | Reiki Timer | Reiki Music Offline"
"meditation timer","10","7","4.75","4.52","0","Insight Timer - Meditation App | Meditation Timer | Meditation Time: Simple Timer | Bowl Timer | MindTime - Meditation Timer | Meditation Timer & Log | Meditation Timer | Simple Meditation Timer | Meditation Timer - Silence | Meditation Timer – Bell & Zen"
"breathing exercise","10","6","4.46","2.33","0","Breathe: Relax & Focus | Breathwrk: Breathing Exercises | Breathing Exercises: Pranayama | Breath Ball: Breathing & HRV | Paced Breathing | Prana Breath: Calm & Meditate | Pranayama : Breathing Exercise | Pranaria - Breathing exercises | BreathMAX: Breathing Exercises | RESPIRA: Breathing Exercises"
"anxiety relief","10","3","4.27","3.67","0","Rootd - Anxiety & Panic Relief | MindShift CBT - Anxiety Relief | Headspace: Sleep & Meditation | Dare: Anxiety & Panic Attacks | Insight Timer - Meditation App | Calm - Sleep, Meditate, Relax | Stress Therapy: Neurocycle | Anxiety Relief Apps & Hypnosis | Hex: Anxiety Relief Relax Game | Anxiety Tracker: Panic Relief"
"panic attack","10","6","4.28","3.92","0","Dare: Anxiety & Panic Attacks | Rootd - Anxiety & Panic Relief | Anxiety Tracker: Panic Relief | Anxiety & Panic Relief: Calmer | Panickly - Panic Attack Help | Breeze: Panic Attack & Anxiety | Panic Attack Relief Airu | CALMzone: Anxiety Support | Soolo - Panic Attack & Anxiety | CalmAhead: Panic Attack Relief"
"adhd planner","10","2","4.54","4.14","0","Super Planner: ADHD Routine AI | Unique: ADHD Planner & Journal | Yoodoo: ADHD Daily Planner | Structured - Daily Planner | Routine Planner, Habit Tracker | ADHD Cleaning Planner Schedule | Untangle: ADHD Planner | Indy: ADHD AI Coach & Planner | Chore Focus: ADHD Task Manager | Any Planner - ADHD Day Planner"
"executive function","10","1","4.40","3.77","0","The ADHD Executive | Sprout - Smart ADHD Task App | Chore Focus: ADHD Task Manager | Executive Ready AI Coach Rocky | Lumosity: Brain Training Games | Untangle: ADHD Planner | Minnesota Executive Function S | Actimate: ADHD Planner | HitCheck: Cognitive Assessment | neurolist꞉ AI Planner for ADHD"
"burnout","10","10","4.15","4.11","0","Torque Burnout | Burnout Masters | Burnout Free: Stress Relief | Burnout Zero | Burnout Test | Burnout Prevention | Pulse: Burnout & Stress Check | Burnout Benchmark | Burnout to Balance | Calmly: Burnout & Stress"
"tinnitus","10","10","4.16","3.61","0","ReSound Tinnitus Relief | Tinnitus Therapy Pro | Beltone Tinnitus Calmer | Tonal Tinnitus Therapy | SilentCloud: Tinnitus Therapy | Tinnitus Relief App | Tinnitus alleviator app | Tinnitus Therapy Lite | MindEar | Tinnitus Relief | Tinnitus Match"
"blood sugar","10","7","4.05","2.57","0","mySugr - Diabetes Tracker Log | Blood Sugar Diary for Diabetes | Glucose tracker－Diabetic sugar | Diabetes:M - Blood Sugar Diary | Blood Sugar Care: BP Monitor | Blood Sugar & BP Tracker | GlucoCare: Blood Sugar Tracker | Blood Sugar・Blood Pressure App | ​OneTouch Reveal® app | Glucose Tracker - Blood Sugar"
"blood glucose","10","2","4.19","2.69","0","mySugr - Diabetes Tracker Log | Blood Sugar Diary for Diabetes | Blood Glucose Monitor | Glucose tracker－Diabetic sugar | Diabetes:M - Blood Sugar Diary | Health2Sync - Diabetes Tracker | Blood Glucose App - Glucobyte | Diabetes Tracker | ​OneTouch Reveal® app | Glooko - Track Diabetes Data"
"menopause","10","8","4.54","4.30","0","Menopause Journey | Menopause Tracker & HRT: Crest | Balance: salud hormonal | Health & Her App | Menopause & HRT Tracker | Menopause: Perimenopause HRT | Shero: Menopause & Cycles | Menopause Stage - Clearblue me | Menopause & Hot Flash Diary | Evia: Menopause Hypnotherapy"
"pelvic floor","10","7","4.38","2.83","0","Squeezy | Connect Pelvic Floor Fitness | Easy Kegel - Pelvic Floor | Keggle: Kegel & Pelvic Floor | Kegel Trainer - Exercises | Kegel Men: Men's Pelvic Health | Pelvic Floor Workout Plan | Keglio — AI Kegel Pelvic Floor | Sacro — Kegel & Pelvic Floor | Kegel Trainer: Pelvic Floor"
"fibromyalgia","10","6","4.47","4.00","0","Fibromyalgia Journey | Fibromyalgia Tracker | Fibromyalgia Tracker | Curable: Chronic Pain Relief | Manage My Pain | Helfi: Fibromyalgia Tracker | Manage My Pain Pro | Quell Fibromyalgia | Fibromyalgia - Research | Juno Chronic Illness Support"
"chronic pain","10","3","4.29","3.47","0","Manage My Pain | Curable: Chronic Pain Relief | Manage My Pain Pro | Juno Chronic Illness Support | Pain Journal: Symptom Tracker | Chronic Insights symptom diary | Chronic Illness Tracker | PainLog: Headache & Back Pain | PainApp: Chronic Pain Relief | Chronic Pain Journey"
"migraine tracker","10","5","4.50","4.08","0","Migraine Buddy: Track Headache | Migraine Tracker | Migraine Insight: Tracker | Migraine Monitor | Dark Logger: Migraine Tracker | Migraine Tracker: Pressure Pal | Headache & Migraine Diary | Migraine Tracker & Diary | Canadian Migraine Tracker | Migraine & Headache AI Tracker"
"fodmap","10","10","4.20","3.45","0","Monash University FODMAP diet | Low FODMAP diet A to Z | Fast FODMAP Lookup & Learn | FODMAP Friendly | Fodmate: Low FODMAP Foods | Low FODMAP Diet: IBS tracker | FODMAP Diet food Scanner | FODMAP Snap: SIBO Diet Tracker | Low FODMAP Diet IBS Bloat Gone | FODMAP Food Guide"
"ibs","10","9","4.22","3.52","0","ibis Paint X | Tummily: Gut & IBS Tracker | IBS Pal | IBS & Gut Health Tracker | IBS Journey | IBS Tracker: FODMAP Food Guide | IBS Coach Complete FODMAP Diet | Low FODMAP Diet: IBS tracker | Endive - IBS Food Diary | IBS Buddy: Gut Hypnotherapy"
"hydrating","10","0","4.61","4.27","0","Water Reminder - Remind Drink  | Water Tracker: WaterMinder app | Drink Water Reminder & Tracker | Water Drink Reminder | HydrateMe: Water Tracker | Daily Water Tracker - Waterful | My Water Tracker & Reminder | waterdrop® Hydration App | Plant Nanny - Water Tracker | Water Tracker: Water Reminder"
"acne tracker","10","3","4.10","3.36","0","AcneTrack - Your Acne Journey | Puffin: Acne Tracker | Glaze: Skin & Acne Tracker | SkinTheory Skin + Acne Tracker | Skincare Routine: FeelinMySkin | Clear: Social Skincare Tracker | SkinSort - Skincare Scanner | Skin Bliss: Skincare Routines | Skinepic – AI Acne Skincare | AI Skin Scanner & Mole checker"
"eczema","10","10","4.27","4.07","0","Eczema Tracker - Skin Diary | Eczema Tracker by EczemaWise | Eczema CARE+ | AI Eczema App | Eczema App Nia | My Eczema Tracker | Living with Eczema | Visual Eczema Care - ATOPIYO | mySkinHealth - Eczema | Eczema Tracker: Skin & Flares"
"medication reminder","10","2","4.37","3.51","0","Pillo: Pill Reminder & Alarm | Medisafe Pill & Med Reminder | Meds & Pill Reminder MyTherapy | TakeYourPills Pill Reminder | Cute Pill: Medication Reminder | EveryDose: Medication Reminder | Mewdicate: Pill Reminder Alarm | Dosecast - Pill Reminder App | Pills Time Med Reminder | Mediqation; Pill Reminder"
"pill reminder","10","7","4.40","3.51","0","Pillo: Pill Reminder & Alarm | Meds & Pill Reminder MyTherapy | Medisafe Pill & Med Reminder | TakeYourPills Pill Reminder | Mewdicate: Pill Reminder Alarm | Cute Pill: Medication Reminder | DailyDose: Pill Reminder | Mediqation; Pill Reminder | Dosecast - Pill Reminder App | EveryDose: Medication Reminder"
"symptom checker","10","4","3.89","2.63","0","Ada - your health portal | WebMD: Symptom Checker | Symptomate – Symptom checker | Symptom Checker | Doctor31 - Symptom Checker | PMDD Symptom Tracker | Symptom Tracker | Chronic Insights symptom diary | Symptom Check AI Health Guide | Symptom, Mood & Period Tracker"
"first aid","10","9","4.37","3.53","0","First Aid: American Red Cross | First Aid - IFRC | First Aid | First Aid | Pet First Aid | iFirstAid | First Aid | First Aid - Practical Guide | SJA First Aid Fast | First Aid Kit: First Aid and E"
"quit smoking","10","7","4.57","4.29","0","Quit Tracker: Stop Smoking | Smoke Free - quit smoking now | QuitNow: Quit smoking for good | Stop Smoking - EasyQuit | QuitSure: Quit Smoking Smartly | Quit Smoking Gradually: Alive | My QuitBuddy | Quit Smoking Get Healthy | Qwit Nicotine: Quit Smoking | Quit Smoking, Smoke-free Flamy"
"esim","10","9","4.18","2.69","0","Airalo: eSIM for travel & data | Holafly eSIM: Unlimited Data | Saily: eSIM + phone number | eSIM io: Global SIM Card | Nomad eSIM: Prepaid Data Plan | eSim Prepaid Mobile Travel App | eSIM Plus: eSIM for Travel | eSIM + Travel Data : GigSky | Yesim: eSIM & Mobile Data | Numero: Number - Data - Call"
"visa","10","8","3.98","3.14","0","Visa Pay | Visa Airport Companion | Visa Digital Emergency Card | Visa Benefits | Visa Purchase Alerts | Visa Commercial Pay | Spend Clarity Enterprise | Verizon Visa Card | Visa Go | Tap to Pay Ready"
"offline maps","10","2","4.06","3.24","0","MAPS.ME: Offline maps GPS Nav | Organic Maps・Offline Map & GPS | OsmAnd — Maps & GPS Offline | All-In-One Offline Maps | Offline Map Navigation | Sygic GPS Navigation & Maps | Avenza Maps: Offline Mapping | Mapy.com: Offline Outdoor Maps | Google Maps | Gaia GPS: Offline Trail Maps"
"trekking","10","0","4.25","3.37","0","AllTrails: Hike, Bike & Run | komoot - hike, bike & run | Mapy.com: Offline Outdoor Maps | Strava: Run, Bike, Walk | Wikiloc - Trails of the World | Organic Maps・Offline Map & GPS | Outdooractive. Hike and Ride | Gaia GPS: Offline Trail Maps | HiiKER: The Offline Hiking app | Trails WA: Official Guide"
"surf forecast","10","3","4.46","3.40","0","Surf-Forecast.com | Surfline: Wave & Surf Reports | Swell Scope — Surf Forecast | SurfMap: Your Surf Forecast | Surf Captain | Windy.app - Enhanced forecast | Windfinder: Wind & Weather map | Lazy Surfer - Surf Forecast | Tide forecast: Waves & Wind | iKitesurf: Weather & Waves"
"marine","10","9","3.79","2.05","0","MarineTraffic - Ship Tracking | Iron Marines Offline Strategy | TZ iBoat - Marine Navigation | USMC Squad Bay | Mercury Marine | Marine Atlantic | Marine Survey Pro | Crowley Marine | Super Marine Defense | Wavve Boating: Marine Boat GPS"
"find my device","10","2","3.99","3.31","0","Google’s Find Hub | Find my Device | Samsung Find: Location Sharing | Find My: Phone, Watch, Earbuds | Wunderfind: Find Lost Device | MFinder: Find My Phone Tracker | Find My Bluetooth Device | Prey: Tracking & Security | Find my Phone - Family Locator | Find My Device: Phone Tracker"
"balance app","10","1","4.32","3.57","0","Balance: Meditation & Sleep | Balance: salud hormonal | Balance: Couple Budget & Money | Beasts of Balance | Balance Health | Inner Balance™ | Balance Grille App | Balance mobile | GIBBON Balance App | Fake Balance"
"fall detection","10","1","2.60","1.92","0","Fall Detect - SOS Fall Alert | FallCall Detect | uFallAlert – Fall Detection | Fall Alert Wear3 - MMW | Fall Alert – My Medic Watch | Personal Safety - Fall Alert | 3M Fall Protection Tool | Fall Track | FallCall Lite | LifeGuardian - Fall Safety SOS"
"transcribe app","10","0","4.33","3.89","0","Live Transcribe & Notification | Notta-Transcribe Audio to Text | Transkriptor - Speech to Text | OtterAI Transcribe Voice Notes | Transcribe Speech to Text | AI Transcribe. Speech to Text | Transcribe Audio To Text | Transcribe Audio to Text | SoundType AI - Voice To Text | AI Transcribe Audio to Text"
"nfc","10","10","4.23","3.64","0","NFC Tools | NFC Tools - Pro Edition | NFC Tag: Card Reader & Scanner | NFC Tasks | NFCore - NFC Tag Reader Writer | NFC.cool Tools Reader & Writer | NFC Pro: Tag Reader & Writer | NFC Tools – Read & Write | Secure Card Wallet: Credit-NFC | 4service NFC"
"sheet music","10","5","4.35","3.84","0","Musicnotes Sheet Music Player | MobileSheets | Tomplay Sheet Music | MuseScore: Music Chords & Tabs | Flat: Music Score & Tab Editor | ScorePDF: Sheet Music Viewer | Metronaut Sheet Music | IMSLP | MuseNote: Sheet Music & AI | Complete Music Reading Trainer"
"music practice","10","2","4.43","3.67","0","Perfect Ear: Music & Rhythm | Legato: Music Practice Journal | Tonic Music: Practice & Play | Music Theory Companion | MuseScore: Music Chords & Tabs | Octero Music Practice Journal | Complete Music Reading Trainer | Riyaz: Practice, Learn to Sing | Music Routine: daily practice | Complete Rhythm Trainer"
"guitar tabs","10","4","4.12","3.34","0","Ultimate Guitar: Chords & Tabs | Songsterr Guitar Tabs & Chords | GuitarTab - Tabs & Chords Pro | Guitar Tabs X | GuitarTuna: Tune & Play Guitar | Real Guitar - Tabs and chords! | My Guitar Tabs | Guitar chords and tabs | Tabs Lite: Ultimate Chords | Protabs - Guitar Tabs"
"dance app","10","0","4.09","3.33","0","Just Dance Now | Dancebit: Weight Loss Dance | Zumba - Dance Fitness Workout | Dancefitme - Fun Weight Loss | DANCE MASTERCLASS | Dance On - Hotsteps Mobile | Choreographic: Dance Formation | Learn Dance At Home | Organic Dance: Weight Loss App | Sweet Dance"
"ai teacher","10","1","4.38","3.41","0","Teachmint : AI study app | Talkly AI - English Teacher | Teacher AI – Speaking Practice | Speak English with Loora AI | AI Teacher - Ask with Photos | TeachAI: AI Teaching Assistant | Buddy.ai: Kids Learning Games | Professor Curious: AI Tutor | Nerd AI - Tutor & Math Helper | Learn AI"
"ai companion","10","1","4.15","2.10","0","Kindroid: Your Personal AI | Replika: My AI Friend | Nomi: AI Companion with a Soul | Grok AI | Character AI: Chat, Talk, Text | Paradot: Personal AI chat | ChatGPT | ChatOn - AI Chat Bot Assistant | PolyBuzz: Chat with AI Friends | Perplexity - Ask Anything"
"local llm","10","0","3.44","2.64","0","Ollama Local AI | LocalAI: Offline AI Chat LLM | PocketPal AI | LM Playground | LocalMind: Ollama & LM Studio | LLM Hub - Local AI Assistant | AnythingLLM | LLM AI Server with llama.cpp | llM Local - AI offline | Local AI Client: Ollama & vLLM"
"privacy","10","3","4.43","3.14","0","Privacy.com | Brave Private Web Browser, VPN | NordVPN – fast VPN for privacy | Proton VPN: Fast & Secure VPN | Surfshark: Secure VPN service | DuckDuckGo, optional Duck.ai | ExpressVPN: VPN Fast & Secure | F-Secure Mobile Security | Firefox Fast & Private Browser | Avast SecureLine VPN & Privacy"
"book tracker","10","5","4.49","3.63","0","Goodreads: Book Tracker & More | Bookmory - reading tracker | StoryGraph | Fable: Track & Discuss Books | Bookshelf-Your virtual library | Yuuna: Bookshelf Book Tracker | Bookshelf | Pagebound: Social Book Tracker | Bookly - Book Tracker Library | LibRoom – Book Tracker"
"fanfiction","10","4","3.72","1.48","0","FanFiction.Net | Spirit Fanfiction and Stories | Wattpad - Read & Write Stories | Avidly: books, manga, fanfic | Fictivity: Fanfiction Reader | Wattpad Beta | WebNovel | Kindred: Live Your Fanfiction | Inkitt: Books, Novels, Stories | Книга Фанфиков"
"poetry","10","7","4.39","3.51","0","Unwind: Poetry & Writing | Poetizer: Read & Write Poetry | Poetry Magazine | English Poetry | Poet Assistant (English) | Poemify: Your Poetry Assistant | Apoet - Poem, Tale, Stories | Love Poems - Love Poetry | Urdu Shayari & poetry | Rekhta | Writco: Write & Publish Books"
"journal","10","9","4.48","3.47","0","Journal | My Diary - Daily Diary Journal | MuseInk: AI Journal | Journal: Notes, Planner, PDFs | Simple Journal - Private Notes | Notion: Notes, Tasks, AI | Daylio Journal - Mood Tracker | Color Diary - Journal & Lock | Daybook - Diary, Journal, Note | Day One Diary: Daily Journal"
"watercolor","10","9","4.07","3.43","0","Aquasa - Watercolor Painting | Watercolor Effects & Filter | Watercolor Portraits & Effects | Aquarelle - AI Watercolor | Watercolor Paint | Watercolor Animals Coloring | WaterColors | Watercolor Painting Ideas | Water Colors – Sorting & Match | WaterColor Trolley"
"chess app","10","0","4.58","3.85","0","Chess - Play and Learn Online | Chess - Offline Board Game | Chess Online & Offline | Chess Master: Board Game | Chess Clash: Online & Offline | Chess Universe: Play Online | Chess | Lichess | Chess Online - Clash of Kings | Learn Chess with Dr. Wolf"
"go game","10","2","4.37","3.89","0","Go Game - BadukPop | Tsumego Pro (Go Problems) | Go Pro | Go Baduk Weiqi Master | ElyGo Pro (Go, Tsumego) | EasyGo - Katago AI Tsumego SGF | Sente - Online GO | MONOPOLY GO! | The World GO | Go Baduk - Go Game Play"
"pickleball","10","9","4.14","3.52","0","Pickleball Stars | Pickleheads - Play Pickleball | Playtomic - Padel & pickleball | Pickleball Strategy 3.5+ App | DUPR | Pickleball Drills and Guide | Pickleball Kingdom | Pickleball Mixer: Court Sports | Pickleball Flow: Round Robin | Pickleball League: Sports Game"
"calisthenics","10","7","4.60","4.00","0","Thenics: Calisthenics Coach | Thenx: Calisthenics Training | Hybrid Calisthenics - Fitness | Calisteniapp: Workout Programs | Home Workout - No Equipment | Calistree: home & gym workouts | Simple Calisthenics Workouts | Calitracker: Calisthenics Log | CaliQuest: Calisthenics Quest | Military Calisthenics Women"
"mobility","10","10","3.79","2.41","0","Mobility Coach | Mobility Carsharing | Mobility by Ecolane | Segway Mobility | Mobility Manual | pliability: Stretch & Mobility | Mobility CU | Mobility Pay | Umo Mobility | Metro Mobility E-Bike Share"
"foam roller","10","1","4.43","3.81","0","Foam Roller | Story roller | ROLLER | Seven - 7 Minute Workout | Lime - #RideGreen | Yoga Go Fitness & Yoga Workout | Nike Training Club | CamScanner- scanner, PDF maker | Peloton - Fitness & Workouts | GOWOD – Mobility & Stretching"
"couple app","10","1","4.62","4.36","0","Couple Joy - Relationship App | Love8 - App for Couples | Between - Private Couples App | Couple2 - Space for Couples | Candle: Couples & Relationship | Cozy Couples: Relationship App | Everlove: Couple App (Nemlys) | The Couple (Days in Love) | Lovify: Fun Couple Games | Couple360"
"relationship","10","4","4.26","3.50","0","Hinge Dating App: Match & Date | Evergreen: Relationship Growth | Bumble Dating App: Meet & Date | Love Wise: Relationship Advice | Couple Joy - Relationship App | Love Counter – Time in Love | Plenty of Fish : Dating App | Tinder Dating App: Chat & Date | Everlove: Couple App (Nemlys) | Cozy Couples: Relationship App"
"breakup","10","10","4.25","3.71","0","Breakup App : Let it Go | Detach90: Breakup Recovery | No Contact: AI Breakup Help | No Contact – Breakup Healing | Breakups: Heal & Move On | Breakup Diary | Heal: No Contact & Breakup | Breakup Coach AI: No Contact | Unbreak: Breakup Companion | Reheart: Breakup No Contact"
"lgbtq","10","6","3.95","2.78","0","LGBTQ Flags Merge – Pride! | Taimi: LGBTQ+ Dating & Meet Up | Lex: Queer & LGBTQ+ Friends | HeeSay: LGBTQ+ Community | Vibes, LGBTQ meetups! | HER Lesbian, bi & queer dating | Voda: Your LGBTQIA+ Companion | Hornet - Gay Dating & Chat | Everywhere Is Queer | SCRUFF"
"long distance","10","4","4.08","1.79","0","Couple2 - Space for Couples | Nearish: Long Distance Couples | Candle: Couples & Relationship | Walk the Distance | tap ME: Couples Long Distance | NextMeet – Long Distance Love | Map My Walk: Walking Tracker | Together: Couples App | Long Distance Bracelet | Love8 - App for Couples"
"child activities","9","0","4.45","4.16","0","ABCmouse: Kids Learning Games | PBS KIDS Games | Baby Games for 1-3 Year Olds | ABC Kids - Tracing & Phonics | Kids Games: For Toddlers 3-5 | Khan Academy Kids | Lingokids: Games & Shows | Kids Toddler & Preschool Games | Kids Offline Preschool Games"
"homeschool","10","10","3.99","2.81","0","Homeschool: Good & Beautiful | Homeschool Ledger | Homeschool Scheduler | Power Homeschool | Homeschool Panda | Homeschooly Homeschool Planner | Homeschool Gradebook | WiseTrack Homeschool Log | Homeschool Feast | Homeschool Planner"
"dyslexia","10","7","3.71","2.80","0","Dystherapy: Dyslexia Training | Dyslexia Reader by MDA | MYdys - aid for dyslexia | Dyslexia - Cognitive Research | Fluency: Dyslexia Reading App | Speechify – Text to Speech | ReadFocus+: Dyslexia/ADHD Aid | NaturalReader - Text to Speech | Ultimate Phonics Reading App | Dyslexia Reading - ReadGenie"
"sight words","10","9","4.21","3.55","0","Learn to Read: Kids Games | Sight Words Kindergarten Games | ABC Flash Cards - Sight Words | Kids Reading Sight Words | Sight Words Learning Games & R | Reading Academy Sight Words | Kids Reading Sight Words Lite | Sight Words | Kids Sight Words | Sight Words Phonics Superhero"
"phonics","10","9","4.10","3.00","0","Hooked on Phonics Learning | Spelling & Phonics: Kids Games | Jolly Phonics Lessons | ABC Kids - Tracing & Phonics | Read with Phonics - Games | UptoSix Phonics | UptoSix Phonics PLUS | The Phonics App | Phonics Hero: Learn to Read | Learn to Read: Kids Games"
"adhd kids","10","0","4.06","2.83","0","Lusha: ADHD Chores & Behavior | Lira – ADHD & Autism Women | Lil Planner: Visual Schedule | ADHD Tracker | ADHD Easy-Do your ADHD Planner | Happy Kids Timer Chores | ADHD Guide | Hypermonkey: ADHD Productivity | EndeavorOTC®: Outplay ADHD | Yoodoo: ADHD Daily Planner"
