rank,keyword,seed,en,fr,both,words,demand,score
"89","resume cv pdf maker","resume","1","0","0","4","220","2.55"
"90","resume cv maker ai","resume","1","0","0","4","220","2.55"
"91","resume document editor","resume","1","0","0","3","220","2.55"
"92","resume genius cv maker","resume","1","0","0","4","220","2.55"
"93","driving test practice","driving test","1","0","0","3","217","2.54"
"94","driving test finder","driving test","1","0","0","3","217","2.54"
"95","driving licence practice test","driving test","1","0","0","4","217","2.54"
"96","practice driving test qld","driving test","1","0","0","4","217","2.54"
"97","practice driving test uk","driving test","1","0","0","4","217","2.54"
"98","weight loss calculator","weight loss","1","0","0","3","213","2.53"
"99","weight loss coach","weight loss","1","0","0","3","213","2.53"
"100","weight loss diary","weight loss","1","0","0","3","213","2.53"
"101","weight loss injection tracker","weight loss","1","0","0","4","213","2.53"
"102","weight loss journal","weight loss","1","0","0","3","213","2.53"
"103","weight loss journey tracker","weight loss","1","0","0","4","213","2.53"
"104","weight loss log","weight loss","1","0","0","3","213","2.53"
"105","weight loss planner","weight loss","1","0","0","3","213","2.53"
"106","screen time tracker","screen time","1","0","0","3","209","2.52"
"107","screen time break reminder","screen time","1","0","0","4","209","2.52"
"108","screen time editor","screen time","1","0","0","3","209","2.52"
"109","screen time finder","screen time","1","0","0","3","209","2.52"
"110","fake screen time maker","screen time","1","0","0","4","209","2.52"
"111","screen time overlay tracker","screen time","1","0","0","4","209","2.52"
"112","screen time reminder","screen time","1","0","0","3","209","2.52"
"113","ai girlfriend editor","ai girlfriend","1","0","0","3","199","2.50"
"114","ai girlfriend generator","ai girlfriend","1","0","0","3","199","2.50"
"115","ai girlfriend maker","ai girlfriend","1","0","0","3","199","2.50"
"116","ai girlfriend photo editor","ai girlfriend","1","0","0","4","199","2.50"
"117","ai girlfriend tagalog","ai girlfriend","1","0","0","3","199","2.50"
"118","ai girlfriend video maker","ai girlfriend","1","0","0","4","199","2.50"
"119","ev charging calculator","ev charging","1","0","0","3","197","2.49"
"120","ev charging cost calculator","ev charging","1","0","0","4","197","2.49"
"121","ev charging cost tracker","ev charging","1","0","0","4","197","2.49"
"122","ev charging finder","ev charging","1","0","0","3","197","2.49"
"123","ev charging log","ev charging","1","0","0","3","197","2.49"
"124","ev charging planner","ev charging","1","0","0","3","197","2.49"
"125","ev charging route planner","ev charging","1","0","0","4","197","2.49"
"126","ev charging time calculator","ev charging","1","0","0","4","197","2.49"
"127","habit tracker app","habit tracker","1","0","0","3","193","2.48"
"128","habit tracker widget","habit tracker","1","0","0","3","193","2.48"
"129","habit tracker innergrow","habit tracker","1","0","0","3","193","2.48"
"130","habit tracker davetech","habit tracker","1","0","0","3","193","2.48"
"131","habit tracker game","habit tracker","1","0","0","3","193","2.48"
"132","habit tracker wallpaper","habit tracker","1","0","0","3","193","2.48"
"133","habit tracker calendar","habit tracker","1","0","0","3","193","2.48"
"134","habit tracker cute","habit tracker","1","0","0","3","193","2.48"
"135","home workout ai trainer","home workout","1","0","0","4","175","2.44"
"136","keep home workout trainer","home workout","1","0","0","4","175","2.44"
"137","home workout log","home workout","1","0","0","3","175","2.44"
"138","home workout planner","home workout","1","0","0","3","175","2.44"
"139","home workout personal trainer","home workout","1","0","0","4","175","2.44"
"140","home workout tracker","home workout","1","0","0","3","175","2.44"
"141","home workout timer","home workout","1","0","0","3","175","2.44"
"142","period tracker my calendar","period tracker","1","0","0","4","174","2.44"
"143","period tracker for teens","period tracker","1","0","0","4","174","2.44"
"144","period tracker calendar app","period tracker","1","0","0","4","174","2.44"
"145","period tracker ovulation calendar","period tracker","1","0","0","4","174","2.44"
"146","period tracker ovulation cycle","period tracker","1","0","0","4","174","2.44"
"147","period tracker and ovulation","period tracker","1","0","0","4","174","2.44"
"148","period tracker dragon","period tracker","1","0","0","3","174","2.44"
"149","period tracker clue","period tracker","1","0","0","3","174","2.44"
"150","passport photo maker ai","passport photo","1","0","0","4","155","2.39"
"151","passport photo converter","passport photo","1","0","0","3","155","2.39"
"152","digital passport photo maker","passport photo","1","0","0","4","155","2.39"
"153","passport photo editor","passport photo","1","0","0","3","155","2.39"
"154","passport photo generator","passport photo","1","0","0","3","155","2.39"
"155","passport photo maker gratis","passport photo","1","0","0","4","155","2.39"
"156","passport größe photo maker","passport photo","1","0","0","4","155","2.39"
"157","passport photo maker india","passport photo","1","0","0","4","155","2.39"
"158","photo enhancer free","photo enhancer","1","0","0","3","153","2.38"
"159","photo enhancer remove object","photo enhancer","1","0","0","4","153","2.38"
"160","photo enhancer gene art","photo enhancer","1","0","0","4","153","2.38"
"161","photo enhancer camera","photo enhancer","1","0","0","3","153","2.38"
"162","photo enhancer ai free","photo enhancer","1","0","0","4","153","2.38"
"163","photo enhancer al","photo enhancer","1","0","0","3","153","2.38"
"164","photo video enhancer app","photo enhancer","1","0","0","4","153","2.38"
"165","photo hd enhancer app","photo enhancer","1","0","0","4","153","2.38"
"166","max tracker hurricane app","hurricane","1","0","0","4","140","2.35"
"167","hurricane track storm tracker","hurricane","1","0","0","4","140","2.35"
"168","background remover and editor","background remover","1","0","0","4","132","2.33"
"169","background remover editor","background remover","1","0","0","3","132","2.33"
"170","image editor background remover","background remover","1","0","0","4","132","2.33"
"171","logo background remover","background remover","1","0","0","3","132","2.33"
"172","background remover sticker maker","background remover","1","0","0","4","132","2.33"
"173","background remover photo editor","background remover","1","0","0","4","132","2.33"
"174","paint color identifier","paint color","1","0","0","3","129","2.32"
"175","paint color scanner app","paint color","1","0","0","4","129","2.32"
"176","asian paint color catalog","paint color","1","0","0","4","129","2.32"
"177","paint color finder","paint color","1","0","0","3","129","2.32"
"178","baby tracker heartbeat","baby tracker","1","0","0","3","127","2.32"
"179","baby tracker pregnancy test","baby tracker","1","0","0","4","127","2.32"
"180","baby tracker app free","baby tracker","1","0","0","4","127","2.32"
"181","baby tracker free","baby tracker","1","0","0","3","127","2.32"
"182","baby tracker my baby","baby tracker","1","0","0","4","127","2.32"
"183","baby tracker fingerprint","baby tracker","1","0","0","3","127","2.32"
"184","baby tracker app fingerprint","baby tracker","1","0","0","4","127","2.32"
"185","baby tracker app bangla","baby tracker","1","0","0","4","127","2.32"
"186","invoice maker app","invoice maker","1","0","0","3","110","2.27"
"187","invoice maker and generator","invoice maker","1","0","0","4","110","2.27"
"188","invoice maker australia","invoice maker","1","0","0","3","110","2.27"
"189","invoice maker and printer","invoice maker","1","0","0","4","110","2.27"
"190","invoice maker ai","invoice maker","1","0","0","3","110","2.27"
"191","invoice maker and billing","invoice maker","1","0","0","4","110","2.27"
"192","invoice maker and estimate","invoice maker","1","0","0","4","110","2.27"
"193","invoice maker billing app","invoice maker","1","0","0","4","110","2.27"
"194","plant identifier app free","plant identifier","1","0","0","4","101","2.25"
"195","plant identifier leaf snap","plant identifier","1","0","0","4","101","2.25"
"196","plant identifier app nz","plant identifier","1","0","0","4","101","2.25"
"197","plant identifier app uk","plant identifier","1","0","0","4","101","2.25"
"198","plant identifier and cure","plant identifier","1","0","0","4","101","2.25"
"199","plant identifier and diagnose","plant identifier","1","0","0","4","101","2.25"
"200","best plant identifier app","plant identifier","1","0","0","4","101","2.25"
"201","blossom plant identifier","plant identifier","1","0","0","3","101","2.25"
"202","sleep tracker ai","sleep tracker","1","0","0","3","96","2.24"
"203","sleep tracker white noise","sleep tracker","1","0","0","4","96","2.24"
"204","sleep tracker widget","sleep tracker","1","0","0","3","96","2.24"
"205","sleep tracker pokemon","sleep tracker","1","0","0","3","96","2.24"
"206","sleep tracker no ads","sleep tracker","1","0","0","4","96","2.24"
"207","sleep tracker game","sleep tracker","1","0","0","3","96","2.24"
"208","sleep tracker sleep sounds","sleep tracker","1","0","0","4","96","2.24"
"209","sleep tracker apnea","sleep tracker","1","0","0","3","96","2.24"
"210","ai hairstyle generator free","ai hairstyle","1","0","0","4","84","2.21"
"211","ai hairstyle photo editor","ai hairstyle","1","0","0","4","84","2.21"
"212","ai ease hairstyle generator","ai hairstyle","1","0","0","4","84","2.21"
"213","ai hairstyle finder","ai hairstyle","1","0","0","3","84","2.21"
"214","fotor ai hairstyle generator","ai hairstyle","1","0","0","4","84","2.21"
"215","lightx ai hairstyle generator","ai hairstyle","1","0","0","4","84","2.21"
"216","ai photo generator hairstyle","ai hairstyle","1","0","0","4","84","2.21"
"217","plant care tracker","plant care","1","0","0","3","68","2.17"
"218","plant care reminder","plant care","1","0","0","3","68","2.17"
"219","plant care ai identifier","plant care","1","0","0","4","68","2.17"
"220","plant care and identifier","plant care","1","0","0","4","68","2.17"
"221","plant care identifier app","plant care","1","0","0","4","68","2.17"
"222","plant identifier plant care","plant care","1","0","0","4","68","2.17"
"223","plant care watering reminder","plant care","1","0","0","4","68","2.17"
"224","plant scanner and care","plant care","1","0","0","4","68","2.17"
"225","goal tracker app","goal tracker","1","0","0","3","57","2.14"
"226","goal tracker wallpaper","goal tracker","1","0","0","3","57","2.14"
"227","goal tracker widget","goal tracker","1","0","0","3","57","2.14"
"228","goal tracker loan","goal tracker","1","0","0","3","57","2.14"
"229","goal tracker game","goal tracker","1","0","0","3","57","2.14"
"230","goal tracker for students","goal tracker","1","0","0","4","57","2.14"
"231","goal tracker workout calendar","goal tracker","1","0","0","4","57","2.14"
"232","goal tracker ai","goal tracker","1","0","0","3","57","2.14"
"233","price history tracker app","price tracker","1","0","0","4","56","2.14"
"234","baby sleep tracker app","baby sleep","1","0","0","4","46","2.12"
"235","baby sleep coach","baby sleep","1","0","0","3","46","2.12"
"236","baby diary sleep","baby sleep","1","0","0","3","46","2.12"
"237","baby sleep planner","baby sleep","1","0","0","3","46","2.12"
"238","baby sleep timer","baby sleep","1","0","0","3","46","2.12"
"239","ai tattoo stencil generator","ai tattoo","1","0","0","4","45","2.11"
"240","ai tattoo generator free","ai tattoo","1","0","0","4","45","2.11"
"241","ai tattoo maker free","ai tattoo","1","0","0","4","45","2.11"
"242","ai tattoo editor","ai tattoo","1","0","0","3","45","2.11"
"243","blackink ai tattoo generator","ai tattoo","1","0","0","4","45","2.11"
"244","canva ai tattoo generator","ai tattoo","1","0","0","4","45","2.11"
"245","ai photo editor tattoo","ai tattoo","1","0","0","4","45","2.11"
"246","free ai tattoo generator","ai tattoo","1","0","0","4","45","2.11"
"247","uv index tracker","uv index","1","0","0","3","45","2.11"
"248","basketball training tracker","basketball training","1","0","0","3","36","2.09"
"249","food diary app","food diary","1","0","0","3","35","2.09"
"250","food diary symptom tracker","food diary","1","0","0","4","35","2.09"
"251","food diary game","food diary","1","0","0","3","35","2.09"
"252","food diary for kids","food diary","1","0","0","4","35","2.09"
"253","food diary allergy","food diary","1","0","0","3","35","2.09"
"254","food diary calorie counter","food diary","1","0","0","4","35","2.09"
"255","food diary tracker","food diary","1","0","0","3","35","2.09"
"256","baby food diary","food diary","1","0","0","3","35","2.09"
"257","intermittent fasting tracker app","intermittent fasting","1","0","0","4","32","2.08"
"258","intermittent fasting calculator","intermittent fasting","1","0","0","3","32","2.08"
"259","intermittent fasting tracker free","intermittent fasting","1","0","0","4","32","2.08"
"260","intermittent fasting timer","intermittent fasting","1","0","0","3","32","2.08"
"261","ai headshot generator","ai headshot","1","0","0","3","29","2.07"
"262","ai headshot photo generator","ai headshot","1","0","0","4","29","2.07"
"263","ai headshot maker","ai headshot","1","0","0","3","29","2.07"
"264","ai professional headshot generator","ai headshot","1","0","0","4","29","2.07"
"265","reading tracker app","reading tracker","1","0","0","3","28","2.07"
"266","reading tracker free","reading tracker","1","0","0","3","28","2.07"
"267","storygraph reading tracker","reading tracker","1","0","0","3","28","2.07"
"268","bible reading tracker","reading tracker","1","0","0","3","28","2.07"
"269","storied book reading tracker","reading tracker","1","0","0","4","28","2.07"
"270","bookshelf reading tracker","reading tracker","1","0","0","3","28","2.07"
"271","quran reading tracker","reading tracker","1","0","0","3","28","2.07"
"272","daily reading tracker","reading tracker","1","0","0","3","28","2.07"
"273","fuel expense tracker","fuel tracker","1","0","0","3","13","2.03"
"274","fuel efficiency tracker","fuel tracker","1","0","0","3","13","2.03"
"275","fuel cost tracker","fuel tracker","1","0","0","3","13","2.03"
"276","fuel consumption tracker","fuel tracker","1","0","0","3","13","2.03"
"277","fuel log tracker","fuel tracker","1","0","0","3","13","2.03"
"278","fuel mileage tracker","fuel tracker","1","0","0","3","13","2.03"
"279","fuel usage tracker","fuel tracker","1","0","0","3","13","2.03"
"280","gift list tracker","gift list","1","0","0","3","12","2.03"
"281","gift list maker","gift list","1","0","0","3","12","2.03"
"282","christmas list gift planner","gift list","1","0","0","4","12","2.03"
"283","gift list diary","gift list","1","0","0","3","12","2.03"
"284","voice journal mood diary","mood journal","1","0","0","4","11","2.03"
"285","daylio journal mood","mood journal","1","0","0","3","11","2.03"
"286","journal with mood tracker","mood journal","1","0","0","4","11","2.03"
"287","old photo restore repair","old photo restore","1","0","0","4","9","2.02"
"288","old photo restore app","old photo restore","1","0","0","4","9","2.02"
"289","restore old delete photo","old photo restore","1","0","0","4","9","2.02"
"290","restore old photo free","old photo restore","1","0","0","4","9","2.02"
"291","old photo color restore","old photo restore","1","0","0","4","9","2.02"
"292","photo restore old pictures","old photo restore","1","0","0","4","9","2.02"
"293","gas mileage calculator","gas mileage","1","0","0","3","3","2.01"
"294","bitcoin calculator","bitcoin","1","0","0","2","521","2.00"
"295","bitcoin tracker","bitcoin","1","0","0","2","521","2.00"
"296","asmr logic","asmr","1","0","0","2","279","1.70"
"297","selfie editor","selfie","1","0","0","2","242","1.60"
"298","selfie diary","selfie","1","0","0","2","242","1.60"
"299","selfie enhancer","selfie","1","0","0","2","242","1.60"
"300","selfie maker","selfie","1","0","0","2","242","1.60"
"301","selfie timer","selfie","1","0","0","2","242","1.60"
"302","cashback calculator","cashback","1","0","0","2","225","1.56"
"303","cashback scanner","cashback","1","0","0","2","225","1.56"
"304","anatomy practice","anatomy","1","0","0","2","220","1.55"
"305","anatomy radiology","anatomy","1","0","0","2","220","1.55"
"306","nails maker","nails","1","0","0","2","220","1.55"
"307","resume generator","resume","1","0","0","2","220","1.55"
"308","resume coach","resume","1","0","0","2","220","1.55"
"309","resume editor","resume","1","0","0","2","220","1.55"
"310","screen timer","screen time","1","0","0","2","209","1.52"
"311","hurricane tracker","hurricane","1","0","0","2","140","1.35"
"312","hurricane maker","hurricane","1","0","0","2","140","1.35"
"313","wishlist maker","wishlist","1","0","0","2","125","1.31"
"314","wishlist diary","wishlist","1","0","0","2","125","1.31"
"315","wishlist tracker","wishlist","1","0","0","2","125","1.31"
"316","price tracker","price tracker","1","0","0","2","56","1.14"
"317","fuel tracker","fuel tracker","1","0","0","2","13","1.03"
"318","mood journal","mood journal","1","0","0","2","11","1.03"
