keyword,ranked,exact_title,avg_score,min_score,fresh_updated,top_titles
"zikr counter","10","0","4.82","4.78","0","Tasbih Counter - Zikr, Tasbeeh | Dhikr Counter – Tasbih, Zikr | Tasbeeh Counter: Zikr & Tasbih | Digital Tasbeeh counter | Tasbih Counter: Dhikr Azkar | Tasbih Tasbeeh Digital Counter | Tasbih Counter – Dhikr & Zikr | Zikrify - Tasbeeh Counter | Digital Tasbeeh Counter Zikr | Tasbeeh Counter - Digital zikr"
"dhikr app","10","0","4.84","4.79","0","Dhikr & Dua - ذكر و دعاء | Dua & Azkarدعاء ذكر أذكار | Dhikr & Dua: Daily Azkar | Dhikr Counter – Tasbih, Zikr | Tasbih Counter - Zikr, Tasbeeh | My Islam: Qur'an Prayer Tasbih | Dhikr Lock: Daily Quran & Dua | Tasbih Counter: Dhikr Azkar | Dua & Zikr (Hisnul Muslim) | Thikr Home: Dhikr Player"
"daily zikr","10","0","4.85","4.79","0","Dua & Azkarدعاء ذكر أذكار | Dhikr & Dua - ذكر و دعاء | Dhikr & Dua: Daily Azkar | Dua & Zikr (Hisnul Muslim) | Dhikr Lock: Daily Quran & Dua | Zikr Soul: Zikr, Quran, Prayer | Zikr and Dua App | Dhikrly – Daily Dhikr | ZikrApp: Tasbih, Tracker, Dua | Dhikr Counter – Tasbih, Zikr"
"islamic kids","10","0","4.27","3.44","0","Muslim Kids TV | Miraj: Quran & Islamic Games | Quran for Kids: Muslim Stories | Quran For Kids, Tarteel: NOOR | My Quran Journey | Learn Arabic Alphabet: Games | Quran Stories 4 Kids~ Prophets | Islam Guide: Beginners & Kids! | Quran Stories in Islam | Deen - Islamic App"
"muslim kids","10","4","4.33","3.68","0","Muslim Kids TV | Miraj: Quran & Islamic Games | Alifba : Muslim Kids Learning | Islam Guide: Beginners & Kids! | Quran for Kids: Muslim Stories | Quran For Kids, Tarteel: NOOR | Muslim Kids: Learn & Fun | Quran Stories 4 Kids~ Prophets | Kabi Muslim Kids | My Quran Journey"
"learn quran for kids","10","0","4.28","3.44","0","Quran for Kids | Quran For Kids, Tarteel: NOOR | Quran teacher : Easy learning | Learn Arabic Alphabet: Games | Learn Qur'an | Miraj: Quran & Islamic Games | My Quran Journey | Learn to Read Quran – Tajweed | Adnan The Quran Teacher | Quran for Kids: Muslim Stories"
"quran teacher","10","3","4.57","4.00","0","Quran Teacher | Learn Quran Tajwid | Tarteel: AI Quran Memorization | AL Siraat: Learn Quran & Qaida | Learn Qur'an | Quran teacher : Easy learning | TajweedMate: Learn Quran | Memorize Quran | Adnan The Quran Teacher | Retain Quran: Learn & Memorize"
"salat guide","10","0","4.61","3.58","0","Salah Guide | Salah - Learn How to Pray | Salah Guide: Muslim Prayer App | My Salah App: Times & Diary | Easy Salah Steps: Prayer Guide | 3D Salah Guide - Step by Step | Namaz: Learn Salat (Salah) | Step By Step Salah - Namaz | Prayer Times - Qibla & Salah | Salat"
"wudu guide","10","0","4.59","3.58","0","Muslim kids guide Salah & Wudu | Salah Guide | Prayer Tutorial (Islam) | Salah Guide: Muslim Prayer App | Learn Prayer and Wudu | Steps of Wudu How to Perform | NamazStart | Wudu - অযু | Salah - Learn How to Pray | Step By Step Salah - Namaz"
"prayer reminder","10","0","4.54","4.09","0","Prayminder | Prayer Times - Qibla & Namaz | Prayer Times and Qibla | Muslim Pro: Quran Athan Prayer | FivePrayer - Pray on Time | Prayer Alarm | Everyday Muslim - Pray tracker | Pillars: Prayer Times & Qibla | PrayerMate | PrayGo -Daily Bible Meditation"
"qibla finder","10","5","4.38","3.75","0","Qibla Finder・Qibla Compass | Qibla Finder Compass 100% | Qibla Finder | Muslim Pro: Quran Athan Prayer | Qibla Compass: Qibla Direction | Muslim Prayer - Qibla Compass | Qibla Direction - Finder App | Muslim: Prayer Times, Qibla | Qibla Finder & Kaaba Compass | Qibla Finder (Ads free)"
"islamic prayer times","10","0","4.73","4.09","0","Muslim Pro: Quran Athan Prayer | Prayer Times - Qibla & Namaz | Athan: Prayer Times, Dua-Azkar | IslamApp: Prayer times & Athan | Prayer Times and Qibla | Prayer Times - Qibla & Salah | Salaat First: Prayer Times | صلاتك Salatuk (Prayer time) | Prayer Now : Azan Prayer Times | Sajda: Prayer Times, Quran"
"fajr alarm","10","0","4.60","4.20","0","Fajr: Alarm Quran Azkar Athan | Fajr WakeUp Alarm: Never Miss | Prayer Alarm | Fajr UP: Quran Alarm Clock | Fajr: Wake-up Calls | Fajr Buddy | Fajarly | Prayer Time, Azan Alarm, Qibla | Quran Alarm | FajrFighter - Never Miss Fajr"
"tahajjud","10","8","","","0","Tahajjud+ | Tahajjud Salat | Khayr - Tahajjud Reminder | Tahajjud Prayer | Namaz-E-Tahajjud Prayer | Solat Tahajjud | Solat Tahajjud: Kaifiat & Doa | Solat Tahajud Lengkap | Tahajjud namozi o'qilishi tart | তাহাজ্জুদ নামাজ পড়ার সঠিক নিয়ম"
"sunnah prayers","10","0","4.67","4.15","0","Sholat the Sunnah Way | SunnahApp | Sunnah | Sunnah - السنة النبوية | Sunnah: The Way of the Best | Sunnah To-Do: Muslim Planner | Muslim Fasting Sunnah Alarm | Quran and Sunnah Daily | Sunnah Way | Daily Sunnah of Prophet (ﷺ)"
"eid app","10","0","4.21","4.03","0","Bluink eID-Me Digital ID | eID for W3DS | eID Reader | Eid Photo frame 2026 ID Milad | Eid Greetings Card Maker | eID.li - Liechtenstein ID | Eid Photo Frame 2026 | EID 2.0 | Eid al-Adha Photo Frames 2026 | Eid al Adha Photo Frame 2026"
"islamic months","10","0","4.36","3.74","0","Hijri Islamic Calendar 2026 | Hijri Calendar - Islamic Dates | Islamic Calendar & Prayer Time | Islamic Calendar - Hijri Dates | Islamic Calendar & Prayer Time | Hijri Islamic Calendar & Quran | Hijri Islamic Calendar | Prayer Times - Qibla & Namaz | Muslim Pro: Quran Athan Prayer | Hijri Calendar 2026 - Islamic"
"hijri calendar","10","5","4.51","3.74","0","Hijri Calendar & Prayer Times | Hijri Calendar - Islamic Dates | Hijri Calendar | Hijri Islamic Calendar 2026 | Hijri Islamic Calendar | Islamic Calendar - Hijri Dates | Hijri Islamic Calendar & Quran | Islamic Hijri Calendar | Hijri calendar & Islamic tools | Misri Calendar (Hijrical)"
"quranic verses","10","0","4.60","4.09","0","Al Quran (Tafsir & by Word) | Muslim Pro: Quran Athan Prayer | Quran Majeed – القران الكريم | Ayat - Al Quran | Quran for Android | The Holy Quran - English | Al QURAN - القرآن الكريم | Wahy (Holy Quran) | Tarteel: AI Quran Memorization | Quranic Learn Quran and Arabic"
"ayats","10","0","4.51","4.09","0","Ayat - Al Quran | Ayah: Quran App | Al Quran (Tafsir & by Word) | Ayat Play: Al Quran & Hadith | Ayaty : Mutashabihat al-Quran | Ayat Online - Quran Widgets | Muslim Pro: Quran Athan Prayer | Ayat Path - Learn the Qur'an | Easy Quran Hafiz : Memorize | Holy Quran Pro: Tajweed, Audio"
"tajweed rules","10","0","4.50","4.35","0","Learn Tajweed Quran Rules | TajweedMate: Learn Quran | Learners' Handbook of Tajweed | Tajweedly: Learn Quran Online | Rules of Tajweed | Tajweed Made Easy Official | Ilmi: Learn Tajweed | Learn Quran Tajweed Online | Tajwid - How to read Quran | Tajweed Ahkaam (Quran)"
"makharij","10","0","4.59","4.20","0","TajweedMate: Learn Quran | Learn Quran Tajwid | Makhraji Tahsin Digital | Tajwid - How to read Quran | QuranStart | Quran + Tajweed + Audio 2025 | Holy Quran Pro: Tajweed, Audio | Naktub Quran - Write the Quran | Miraj: Quran & Islamic Games | Ilmi: Learn Tajweed"
"tarteel","10","4","4.48","3.33","0","Tarteel: AI Quran Memorization | Quran For Kids, Tarteel: NOOR | Hifz AI: Tarteel Quran ترتيل | Tarteel: Quran Listening & MP3 | Retain Quran: Learn & Memorize | Rateel | Al Quran (Tafsir & by Word) | Quran Memorization Test | Quran Explorer | Quran Majeed – القران الكريم"
"bible study plan","10","0","4.68","4.08","0","Bible Reading Plans -Study KJV | YouVersion Bible App + Audio | Bible Chat - Holy Bible Study | Sola – Bible reading plans | Life Bible | Logos Bible | Bible App by Olive Tree | Bible Reading Plans - Explore | Bible Meditation -Pray & Study | BibleProject"
"bible study for women","10","0","4.67","4.31","0","Bible For Women-Holy Bible KJV | Women Study Bible | her.BIBLE Women's Audio Bible | Daily Bible for Women Offline | Bible Devotional For Women 365 | Women's Bible Study | Women's NIV Bible:Prayer&Verse | Women's Bible-Devotion&Prayer | Hebrew Bible for Women: Study | Bible For Women"
"bible journal","10","3","4.68","4.36","0","Christian Journal -Bible& More | Soulspace: Pray Bible Journal | Sermon Notes -Bible Journal | Bible App by Olive Tree | Prayer Journal - Dear God | Christian Journal - Testimony | YouVersion Bible App + Audio | Logos Bible | Digible: Digital Bible Journal | Bible Life: Illustrated Verse"
"bible verse app","10","0","4.79","4.61","0","YouVersion Bible App + Audio | King James Bible - Verse+Audio | Bible-Daily Bible Verse | Life Bible | Blessed - Bible Verse & Prayer | Holy: Daily Bible Verses | Bible verse of the day | Bible Offline-KJV Holy Bible | Simple Bible Daily Verse Alarm | Daily Bible: Holy Bible KJV"
"bible quiz","10","7","4.62","4.13","0","Bible Quiz & Answers | Bible Quiz | Bible Trivia - Word Quiz Game | Bible Quiz Quest Adventure | Bible Trivia Quiz, Bible Guide | Daily Bible Trivia | Bible Quiz: Daily Bible Trivia | Kingdom Bible Quiz & Trivia | Bible Quiz Pro: Bible Trivia | Bible Quiz: Trivia Game"
"bible for kids","10","0","4.49","4.06","0","Bible App for Kids | Superbook Kids Bible App | Bible Kids | Minno - Kids Bible Videos | Bible ABCs for Kids! | Bedtime Bible Stories for Kids | I Read: The Bible app for kids | Bible Stories for Kids | Eden Kids Bible Stories | Kids Bible Stories Audio"
"bible stories","10","4","4.70","4.31","0","Bible App for Kids | Superbook Kids Bible App | Bible Stories for the Young | YouVersion Bible App + Audio | Bedtime Bible Stories for Kids | Video Bible | BibleNow: Audio Bible Stories | Kids Bible Stories Audio | Simple Story Bible | Bible - Audio & Video Bibles"
"christian prayer","10","0","4.54","3.79","0","Pray.com: Bible & Daily Prayer | Glorify: Devotional & Prayer | Hallow: Prayer & Meditation | Lectio 365: Daily Bible Prayer | PrayGo -Daily Bible Meditation | Abide: Bible Meditation Prayer | Blessed - Bible Verse & Prayer | PrayerMate | YouVersion Bible App + Audio | FaithTime: Daily Devotional"
"prayer request","10","0","4.57","4.37","0","PrayerMate | Prayer for Special Request | Prayer Network | Pray.com: Bible & Daily Prayer | Centering Prayer | Prayer Project | Pillars: Prayer Times & Qibla | Pray – Online | Daily Prayer App | Pray First – Prayer Life Plans"
"worship app","10","0","4.38","3.40","0","ChurchTrac Worship | Worship | Worship Online | WorshipTeam.com | Worship Backing Tracks | Gospel Worship Voices | Hymns for Worship | Unceasing Worship | Sunday Worship | Worship Anew"
"worship lyrics","10","0","4.53","4.06","0","Christian Worship Songs Lyrics | Christian Worship Chord Lyrics | Hymns for Worship | Gospel Worship Voices | Sunday Worship Songs | Christian Worship Song offline | Amazing Praise & Worship Songs | ChurchTrac Worship | Tamil Christian Worship Songs | Charts by WorshipTools"
"christian music","10","3","4.71","4.46","0","Christian Worship Song offline | K-LOVE | The Light DFW: Christian Music | Worship and Praise Songs | Christian Music AI | Christian Music Radio Stations | Rejoicify: Gospel Music | Gospel Worship Voices | Christian Worship Songs Lyrics | Unceasing Worship"
"gospel app","10","0","4.49","3.87","0","Gospel Library | Gospel Partner: Daily Bible | Gospel Stream | Gospel Living | Gospel Worship Voices | Gospel for Kids | Gospel in Life | The Gospel Station | Gospel Tools | Gospel Learning"
"church app","10","3","4.36","3.68","0","Church Center App | The Church App | Church App - Tithe.ly | Church by MinistryOne | Instant Church Directory | Red Rocks Church App | Church.App by FaithConnector | My Church by ChurchSpring | Online Church | My Holy Church"
"sunday school","10","10","4.59","4.47","0","SunScool - Sunday School app | Sunday School Lessons | Sunday School Lessons | RCCG - Sunday School Manual | Sunday School Verses | Sunday School Intermediate | AECD Sunday School | RCCG Sunday School Manual 2026 | Mafundisho ya Sunday School | Sunday School"
"sermon app","10","0","4.12","3.29","0","Sermon Maker | Sermon Assist | Logos Bible | Sermon Notes -Bible Journal | sermon.net | Velora: Bible & Sermon Notes | VerseTap: AI Sermon Note-taker | Tony Evans Sermons | Sermon Log | Sermons by SermonAudio"
"bible commentary","10","6","4.81","4.71","0","Enduring Word Commentary | Bible Commentary Verse by Vers | Matthew Henry Bible Commentary | Bible Commentary Offline | Pop Comm Bible Commentary | Logos Bible | BCFM Bible Commentary Forever | Catena Bible and Commentaries | Study Bible Commentary | The Listener's Commentary"
"scripture memory","10","1","4.67","4.39","0","Versify | Bible Memory | The Bible Memory App | Bible Memory: VerseLocker | Wrinkly – Bible Memory | VerseAnchor -BibleMemorization | Bible Memory: BibleMe | Scriptorian: Scripture Memory | Scripture Brain: Bible Memory | Bread: Bible Memory"
"verse of the day","10","5","4.77","4.58","0","Bible verse of the day | Verse of the Day (Official) | YouVersion Bible App + Audio | Simple Bible Daily Verse Alarm | Daily Bible Verses | Bible Verse of the Day | Holy: Daily Bible Verses | Verse of the Day:Bible & Faith | Bible Verse of the Day: Daily | Bible Daily: Verse & Prayer"
"christian devotional","10","0","4.60","3.79","0","Our Daily Bread | Glorify: Devotional & Prayer | Daily Devotional | Lectio 365: Daily Bible Prayer | YouVersion Bible App + Audio | FaithTime: Daily Devotional | Jesus Calling Daily Devotional | Abide: Bible Meditation Prayer | Today in the Word Devotional | YouDevotion Daily Devotionals"
"40 days","10","4","4.01","2.79","0","40 Days - Transform Your Life | 40 Days Of Focus | 40 days prayer | 20 days left: Countdown widget | Messenger | Roblox | Fit Over 40 | Spotify: Music and Podcasts | Sunnah White Days - Calendar | My 40 Days for Fitness"
"lent app","8","0","4.68","4.53","0","Lent - Lenten Devotional App | LENT | Lent.ai | MAGNIFICAT Lenten Companion | Coptic Lent | Hallow: Prayer & Meditation | Prayers for Lent and Advent | Google Lens"
"advent app","10","0","4.17","3.60","0","AdventHealth | AdventHealth Heartbeat | MyAdvent | Advent Study Hub | Advent Suite | AdvenTV | Advent Session | Sabbath School & PM | Healthy Benefits+ (Classic) | Advent Circle"
"christian meditation","10","3","4.53","3.97","0","BeStill - Christian Meditation | Reflect: Christian Mindfulness | Abide: Bible Meditation Prayer | Soultime Christian Meditation  | Gracify - Christian Meditation | Soulspace: Pray Bible Journal | Hallow: Prayer & Meditation | PrayGo -Daily Bible Meditation | Bible Meditation -Pray & Study | Insight Timer - Meditation App"
"praise app","10","3","4.36","3.62","0","PRAISE APP | Praise Report | Worship Backing Tracks | Stream of Praise Pro | Praise App | Praise App | Praise AG | Praise-Break | Praise & Worship Songs offline | Praise Tower"
"hallelujah","10","1","4.30","2.88","0","Hallelujah | iHeart: Music, Radio, Podcasts | Pandora - Music & Podcasts | YouVersion Bible App + Audio | Hé by SiewLi | Family Island™ — Farming game | Oahu Hawaii Audio Tour Guide | The Palace on the Hill | Acellus | MyHolosync"
"amen app","10","0","4.62","3.31","0","Amen: Catholic Bible & Prayers | Oremus - Catholic Bible&Prayer | Ascension: Catholic Bible | Amen Color-Bible Coloring Book | Catholic Study Bible App | Hallow: Prayer & Meditation | YouVersion Bible App + Audio | BibleOn – Catholic Audio Bible | Lectio 365: Daily Bible Prayer | Amen Mobile"
"torah app","10","0","4.66","3.93","0","TorahApp | TorahAnytime | Torah Class | Sefaria | Torah Live | OU Torah | Read Hebrew - Alef to Torah | InstaRabbi - Torah Q&A | Chabad.org Daily Torah Study | Petite Jérusalem - Torah"
"tanakh","10","10","4.38","4.11","0","Tanakh Bible | Bible Tanakh: Hebrew - English | Tanakh Read Along | Tanakh - Reading and Quiz | Tanakh, Hebrew-Portuguese | Hebrew Bible Tanakh | Tanakh (Italian-Hebrew) | JPS Tanakh 1917 - Hebrew Bible | QuickTanakh (Bible, Prayer) | Tanakh (Spanish-Hebrew)"
"hebrew bible","10","3","4.57","4.15","0","Hebrew Bible Study Translation | Hebrew Bible Offline Original | Hebrew English Bible | Hebrew Greek and English Bible | Bible Tanakh: Hebrew - English | Hebrew/Greek Interlinear Bible | Biblical Hebrew & Aramaic | Hebraic Bible | Hebrew Bible | Hebrew Interlinear OT"
"shabbat app","10","0","4.38","3.57","0","Shabbat & Holiday Times | Shabbat Shalom | Shabbat.com | Shabbat Times | The Sabbath App | Shabbat Siren | Shabbos Clock | Shabbos!!שבת | Shabbat Wise | Shabbat Wake – Shabbat Alarm"
"jewish prayer","10","2","4.72","4.00","0","Daily Jewish Prayers: Siddur | Jewish Prayer Companion | Smart Siddur | Sefaria | TorahAnytime | Jooish: Jewish News & Groups | Hebrew Bible Offline Original | Rabbi Schneider | Hebr-Eng Siddur Keter Shelomo | Chabad.org Daily Torah Study"
"siddur","10","10","4.75","4.24","0","Smart Siddur | Siddur Klilat Yofi Sfard | Siddur Klilat Yofi Ashkenaz | Siddur Tehillat Hashem | ArtScroll Smart Siddur סדור | Siddur Torah Ohr, Chabad | Siddur Chabad – Annotated | Tefilor - The Smart Siddur | RustyBrick Siddur - סידור | Siddur - Give Prayer a Chance"
"talmud app","10","0","4.61","3.43","0","Talmud Bavli & Gemara Study | Talmud Jerusalem | Sefaria | Talmud Now | Hebrew Bible Study Translation | Accidental Talmudist | Hebrew Bible Offline Original | Talmud Quest | Daily Talmud Tale | Mishnah Study: Pirkei Avot"
"hindu mantra","10","2","4.55","4.23","0","Sadhana: Mandir, Mantra & Puja | Hindu Mantras and Meditation | Bhaktipuja: Hindu Mantra | Daily Mantra: Chant & Japa | Daily Chants: Mantra Chanting | Hindu Prayer | Mantra Meditation | Mantra Repeater | Mantra Chanting and Meditation | Bhakti Bhav: Mantra·Bhajan App"
"hindu pooja","10","1","4.58","4.28","0","Puja: Indian Hindu Gods Pooja | Sadhana: Mandir, Mantra & Puja | Sri Mandir - Daily Praying App | Pooja App | Daily Pooja: Virtual Mandir | mymandir - Hindu Pooja App | Puja Padhati | eMandir: Hindu Puja & Aarti | Veda Mandir: Online Puja | Puja Vidhi (पूजा विधि)"
"mantra app","10","0","4.41","3.33","0","Sadhana: Mandir, Mantra & Puja | Daily Mantra: Chant & Japa | Mantra Repeater | Mantra Health | Innertune Affirmations | Mantra Meditation Chakra | Mantra Meditation | Daily Chants: Mantra Chanting | MantraPractice - AI EHR, RCM | Mantra Time - Wake with mantra"
"bhajan","10","10","4.64","4.20","0","Bhajan Mala | Bhajan Aarti Kirtan Chalisa | Aniruddha Bhajan Music | Bhajan Lyrics | Nepali Christian Bhajan | Bhajan Sarovar | Daily Bhajan | Namah: Bhajan, Chalisa & Geeta | Bhakti Bhajan Sansar | Bhakti Bhav: Mantra·Bhajan App"
"aarti","10","10","5.00","5.00","0","Aarti | Aarti Mandir - आरती मंदिर | Aarti Sangrah Music And Lyrics | Aarti Sangrah: All Aarti | Aarti Traders | Daily Darshan-Live Aarti, Puja | Aarti & Chalisa Sangrah | Aarti Sangrah | Aarti Chalisa Sangrah | Aarti Sangrah | आरती संग्रह"
"temple app","10","0","4.36","4.08","0","Temple Square | AP Temples | Temple of God | The Temple | Temple Toker's Club | Trip To Temples | Temple Run 2 | Temple TV | Temple Health Now | Temple Tracker"
"hindu calendar","8","7","4.39","4.17","0","Hindu Calendar | Hindu Calendar 2026 - Panchang | Dharmayana - Daily Hindu App | Hindu Calendar 2026 - Panchang | Hindu Calendar Panchang 2026 | Daily Panchang  Hindu Calendar | Tithi Reminder: Hindu Calendar | Panchang 2026: Hindu Calendar"
"nakshatra","10","6","3.59","2.64","0","Nakshatra Calendar User | Nakshatra Jio | MyNaksh: AI Astrology & Kundli | Tvam Jyotish: Vedic Astrology | Nakshatra Speaks | JyotishApp - Astrology Jyotish | Cosmic Insights Astrology | Calicut Nakshatra | Nakshatra | Nakshatra Porutham : தமிழ்"
"vaastu","10","2","4.22","3.00","0","Vastu Compass by AppliedVastu | Vaastu Wisdom in ENG/GUJ/HINDI | Saral Vaastu: Vastu Solution | Vastu Compass – Accurate Guide | Vastu AI: Home & Office Expert | VastuAbhishek ® | CA Vastu: Vastu Analysis App | Vastu Compass: WoW Vastu AI | Vastu Compass | Vastu Wheels"
"budhist app","10","0","4.70","4.11","0","Buddha Wisdom - Buddhism Guide | Modern Buddhism | Bodhi: Learn Buddhism | Plum Village: Mindfulness | Buddhist Prayer CSTPrayerbook | BuddhaUR: Buddhist Meditation | Learn Buddhism | 84000 - All Buddha's Words | Sangha: Buddhist Companion | OmAhHum - Global Buddhism"
"buddhist meditation","10","1","4.79","4.48","0","Buddha Wisdom - Buddhism Guide | Plum Village: Mindfulness | Modern Buddhism | BuddhaUR: Buddhist Meditation | Bodhi: Learn Buddhism | Insight Timer - Meditation App | Calm - Sleep, Meditate, Relax | Serenity: Guided Meditation | Vajrayana Online | Balance: Meditation & Sleep"
"dharma app","10","0","4.75","4.59","0","Daily Dharma | Dharma Realm Buddhist Assoc. | Dharma Platform | Dhamma.org | Just Dharma | Dharma Scriptures | Dharma Seed | Dharma Buddhism Talks | Dharma - Gita, Epics, more | Dharmakarma"
"sutra app","10","0","4.68","4.62","0","Sutra Spaces | Sutra | Easy Sutra | Sutra | Sutra | Lotus Sutra Buddhist Scripture | Coach Sutra | Med Sutra | Wisdom Sutra | Daily Sutra"
"zen app","10","0","4.49","3.24","0","Zen: Relax, Meditate & Sleep | ZEN.COM – Mobile Wallet | Zen Color - Color By Number | The Way: Meditation & Zen | Zen Space | Zen Educate | ScreenZen・Screen Time Control | Zen Planner Member App | Zen'App | Zen Word® - Relax Puzzle Game"
"pure land","10","0","4.18","3.95","0","Pureland 净土梵音 | Pureland Songs (1) | Pureland Songs (2) | Pure Path - Quit Porn Today | LandTracker PH | Pure Green | Temu: Shop Like a Billionaire | Pinterest | Google TV | MX Player"
"chanting app","10","1","4.60","4.23","0","Daily Chants: Mantra Chanting | Mantra Meditation | Daily Mantra: Chant & Japa | Mantra Chanting and Meditation | Hare Krishna Chanting App | Om Meditation: Mantra Chanting | Mantra Counter | Radha Naam Jap Counter | Chant Counter AI Plus | Naam Jap Counter -Mantra Chant"
"stoic app","10","0","4.48","4.21","0","stoic. journal & mental health | Daily Stoic Meditation: Stoa | Stoic Journal & Mindset: Mori | Meditations: Daily Stoic | Daily Stoic: Quotes & Wisdom | Stoic Core: Journal & Focus | Stoic Journal AI: Stoicism | Daily Stoic Wisdom Quotes | Stoic Forge: Stoicism Journal | Stoic Widget: Quotes & Journal"
"stoicism","10","1","4.51","4.21","0","Daily Stoic Meditation: Stoa | stoic. journal & mental health | Meditations: Daily Stoic | Daily Stoic: Quotes & Wisdom | The Stoic Handbook – Good life | Stoic Journal & Mindset: Mori | Daily Stoic Wisdom Quotes | Stoic Journal AI: Stoicism | StoicMentor | mmmarcus: a stoic mindset"
"daily stoic","10","7","4.57","4.21","0","Daily Stoic: Quotes & Wisdom | Daily Stoic Meditation: Stoa | Daily Stoic Wisdom Quotes | Meditations: Daily Stoic | Daily Stoic Wisdom Quotes | stoic. journal & mental health | Daily stoic quotes | Stoica | Prokopton - Daily Stoic Diary | Stoic Journal & Mindset: Mori | Stoic Journal AI: Stoicism"
"philosophy app","10","1","3.92","2.40","0","Philosophy: Learn & Explore | Philosophy: Daily Quotes | Philosophy App | Noesis: Philosophy | Fathom: Learn Philosophy | Philosophize -Learn Philosophy | Philosophy - MasterNow | Philosophy Master: School Quiz | Philosophia: Philosophy Quotes | Kabalarian Philosophy"
